company,company_href,declaration_date,operation,instrument,amount_from_main,author,operation_date,quantity,price_eur,total_value_eur,comments,scraped_page,scraped_at,operation_date_parsed,declaration_date_parsed
Seb,/marches/transactions_dirigeants/FR0000121709p,23/05/2025,Apport en nature,Action,812630.0,"Auteur:William Gairard, Administrateur",20/05/2025,9547,85.12,812640.64,,25,2025-07-27 20:57:27,2025-05-20,2025-05-23
Axa,/marches/transactions_dirigeants/FR0000120628p,23/05/2025,Réinvestissement automatique dans le PEE de dividendes,Parts de FCPE,85944.0,"Auteur:Helen Browne, Membre du Conseil d’administration",22/05/2025,2062,41.68,85944.16,réinvestissement automatique dans le PEE (FCPE Actionnariat Direct) de dividendes attachés à des titres détenus dans le PEE,25,2025-07-27 20:57:27,2025-05-22,2025-05-23
Axa,/marches/transactions_dirigeants/FR0000120628p,23/05/2025,Réinvestissement automatique dans le PEE de dividendes,Parts de FCPE,826681.0,"Auteur:Thomas BUBERL, Directeur Général",22/05/2025,19834,41.68,826681.12,réinvestissement automatique dans le PEE (FCPE Actionnariat Direct) de dividendes attachés à des titres détenus dans le PEE,25,2025-07-27 20:57:27,2025-05-22,2025-05-23
Danone,/marches/transactions_dirigeants/FR0000120644p,23/05/2025,Souscription,Parts de fonds d'épargne salariale,51830.0,"Auteur:Véronique PENCHIENATI-BOSETTA, DGA Groupe, DG International et DG Nutrition Spécialisée, Eaux, Global Marketing & Digital",22/05/2025,5183,10.0,51830.0,"Il s’agit d’une souscription dans le cadre de l’augmentation de capital annuelle réservée aux salariés de la Société et de ses filiales françaises, via un fonds relais dont la valeur de la part était de 10 euros en 2025. Ce fonds relais a été, à l’issue de l’augmentation de capital, fusionné dans le FCPE 'Fonds Danone'.",25,2025-07-27 20:57:27,2025-05-22,2025-05-23
Frey,/marches/transactions_dirigeants/FR0010588079p,23/05/2025,Acquisition,Action,1390.0,"Auteur:FIRMAMENT PARTICIPATIONS Société en commandite par actions, Administrateur",22/05/2025,50,27.8,1390.0,,25,2025-07-27 20:57:27,2025-05-22,2025-05-23
Tikehau Capital,/marches/transactions_dirigeants/FR0013230612p,23/05/2025,Acquisition,Action,120321.0,"Auteur:MAKEMO CAPITAL Société par Actions simplifiée personne morale liée à Antoine FLAMARION, Président de AF&COManagement, elle-même Gérant de Tikehau Capital",23/05/2025,6233,19.3,120296.90000000001,,25,2025-07-27 20:57:27,2025-05-23,2025-05-23
Tikehau Capital,/marches/transactions_dirigeants/FR0013230612p,23/05/2025,Acquisition,Action,9655.0,"Auteur:TIKEHAU CAPITAL ADVISORS Société par actions simplifiée  personne morale liée à Antoine  FLAMARION, Président de AF&CoManagement, elle-même Gérant de Tikehau Capital",23/05/2025,500,19.31,9655.0,"Tikehau Capital Advisors est une personne étroitement liée à deux personnes dirigeantes de Tikehau Capital, à savoir : - AF&Co Management, Gérant, dont Monsieur Antoine Flamarion est le Président; et - MCH Management, Gérant, dont Monsieur Mathieu Chabran est le Président. Monsieur Antoine Flamarion est également président de la société AF&Co, elle-même Président de Tikehau Capital Advisors, et Monsieur Mathieu Chabran est également président de la société MCH, elle-même Directeur Général statutaire de Tikehau Capital Advisors. Tikehau Capital Advisors est également l'actionnaire unique de Tikehau Capital Commandité, associé commandité de Tikehau Capital.",25,2025-07-27 20:57:27,2025-05-23,2025-05-23
Roche Bobois,/marches/transactions_dirigeants/FR0013344173p,23/05/2025,Cession,Action,36950.0,"Auteur:Martin Gleize, DIRECTEUR INTERNATIONAL",20/05/2025,1000,36.95,36950.0,,25,2025-07-27 20:57:27,2025-05-20,2025-05-23
Roche Bobois,/marches/transactions_dirigeants/FR0013344173p,23/05/2025,Acquisition,Action,1271.0,"Auteur:TXR S.R.L.  personne morale liée à Giovanni Tamburi, Membre du Conseil de Surveillance",22/05/2025,33,38.5,1270.5,,25,2025-07-27 20:57:27,2025-05-22,2025-05-23
Smcp,/marches/transactions_dirigeants/FR0013214145p,23/05/2025,Acquisition,Action,12732.0,"Auteur:TALIA Société civile personne morale liée à Ilan Chétrite, Directeur Général Délégué",19/05/2025,3000,4.24,12720.0,Actions acquises par Mme Evelyne Chétrite par l'intermédiaire de la société SIVAN,25,2025-07-27 20:57:27,2025-05-19,2025-05-23
Smcp,/marches/transactions_dirigeants/FR0013214145p,23/05/2025,Cession,Action,42270.0,"Auteur:Ilan Chétrite, Directeur Général Délégué",19/05/2025,10000,4.23,42300.00000000001,,25,2025-07-27 20:57:27,2025-05-19,2025-05-23
Smcp,/marches/transactions_dirigeants/FR0013214145p,23/05/2025,Cession,Action,41570.0,"Auteur:Ilan Chétrite, Directeur Général Délégué",20/05/2025,10000,4.16,41600.0,,25,2025-07-27 20:57:27,2025-05-20,2025-05-23
Smcp,/marches/transactions_dirigeants/FR0013214145p,23/05/2025,Cession,Action,40920.0,"Auteur:Ilan Chétrite, Directeur Général Délégué",21/05/2025,10000,4.09,40900.0,,25,2025-07-27 20:57:27,2025-05-21,2025-05-23
Smcp,/marches/transactions_dirigeants/FR0013214145p,23/05/2025,Acquisition,Action,2122.0,"Auteur:TALIA Société civile personne morale liée à Ilan Chétrite, Directeur Général Délégué",22/05/2025,532,3.99,2122.6800000000003,Actions acquises par Mme Evelyne Chétrite par l'intermédiaire de la société SIVAN,25,2025-07-27 20:57:27,2025-05-22,2025-05-23
Smcp,/marches/transactions_dirigeants/FR0013214145p,23/05/2025,Cession,Action,40680.0,"Auteur:Ilan Chétrite, Directeur Général Délégué",22/05/2025,10000,4.07,40700.0,,25,2025-07-27 20:57:27,2025-05-22,2025-05-23
KKO International,/marches/transactions_dirigeants/FR0013374667p,23/05/2025,Cession,Action,750.0,"Auteur:ALICANTE PARTICIPATION S.A. SA, ADMINISTRATRICE",22/05/2025,5000,0.15,750.0,,25,2025-07-27 20:57:27,2025-05-22,2025-05-23
Haffner Energy,/marches/transactions_dirigeants/FR0014007ND6p,23/05/2025,Cession,Action,21404.0,"Auteur:HAFFNER PARTICIPATION SAS SAS, PRESIDENT",20/05/2025,79275,0.27,21404.25,,25,2025-07-27 20:57:27,2025-05-20,2025-05-23
Haffner Energy,/marches/transactions_dirigeants/FR0014007ND6p,23/05/2025,Cession,Action,98598.0,"Auteur:HAFFNER PARTICIPATION SAS SAS, PRESIDENT",21/05/2025,343070,0.29,99490.29999999999,Suite et fin,25,2025-07-27 20:57:27,2025-05-21,2025-05-23
Haffner Energy,/marches/transactions_dirigeants/FR0014007ND6p,22/05/2025,Cession,Action,47967.0,"Auteur:HAFFNER PARTICIPATION SAS SAS, PRESIDENT",19/05/2025,177655,0.27,47966.850000000006,Cessions destinées à rembourser un crédit de trésorerie bancaire,25,2025-07-27 20:57:27,2025-05-19,2025-05-22
Klea Holding,/marches/transactions_dirigeants/FR0013481835p,22/05/2025,Acquisition,Action,15850.0,"Auteur:CLEA SMILA personne liée à RAPHAEL SMILA, DG DELEGUE",22/05/2025,90780,0.17,15432.6,,25,2025-07-27 20:57:27,2025-05-22,2025-05-22
Klea Holding,/marches/transactions_dirigeants/FR0013481835p,22/05/2025,Acquisition,Action,1770.0,"Auteur:SASHA SMILA personne liée à RAPHAEL SMILA, DG DELEGUE",22/05/2025,10000,0.18,1800.0,,25,2025-07-27 20:57:27,2025-05-22,2025-05-22
Dassault Systemes,/marches/transactions_dirigeants/FR0014003TT8p,22/05/2025,Cession,Action,811749.0,"Auteur:ROUVEN BERGMANN, Directeur Général Adjoint, Finances",19/05/2025,24019,33.8,811842.2,,25,2025-07-27 20:57:27,2025-05-19,2025-05-22
Dassault Systemes,/marches/transactions_dirigeants/FR0014003TT8p,22/05/2025,Cession,Action,1371344.0,"Auteur:ERIK SWEDBERG, Directeur Général Adjoint, Amériques",19/05/2025,40577,33.8,1371502.5999999999,,25,2025-07-27 20:57:27,2025-05-19,2025-05-22
Tikehau Capital,/marches/transactions_dirigeants/FR0013230612p,22/05/2025,Acquisition,Action,70992.0,"Auteur:MAKEMO CAPITAL Société par Actions simplifiée personne morale liée à Antoine FLAMARION, Président de AF&COManagement, elle-même Gérant de Tikehau Capital",22/05/2025,3701,19.18,70985.18,,25,2025-07-27 20:57:27,2025-05-22,2025-05-22
Tikehau Capital,/marches/transactions_dirigeants/FR0013230612p,22/05/2025,Acquisition,Action,9595.0,"Auteur:TIKEHAU CAPITAL ADVISORS Société par actions simplifiée  personne morale liée à Antoine  FLAMARION, Président de AF&CoManagement, elle-même Gérant de Tikehau Capital",22/05/2025,500,19.19,9595.0,"Tikehau Capital Advisors est une personne étroitement liée à deux personnes dirigeantes de Tikehau Capital, à savoir : - AF&Co Management, Gérant, dont Monsieur Antoine Flamarion est le Président; et - MCH Management, Gérant, dont Monsieur Mathieu Chabran est le Président. Monsieur Antoine Flamarion est également président de la société AF&Co, elle-même Président de Tikehau Capital Advisors, et Monsieur Mathieu Chabran est également président de la société MCH, elle-même Directeur Général statutaire de Tikehau Capital Advisors. Tikehau Capital Advisors est également l'actionnaire unique de Tikehau Capital Commandité, associé commandité de Tikehau Capital.",25,2025-07-27 20:57:27,2025-05-22,2025-05-22
Sidetrade,/marches/transactions_dirigeants/FR0010202606p,22/05/2025,Cession,Action,159789.0,"Auteur:olivier novasque, President",21/05/2025,606,263.68,159790.08000000002,,25,2025-07-27 20:57:27,2025-05-21,2025-05-22
Sidetrade,/marches/transactions_dirigeants/FR0010202606p,22/05/2025,Cession,Action,19765.0,"Auteur:Frédéric DUPONT ALDIOLAN, CSO",22/05/2025,76,260.07,19765.32,,25,2025-07-27 20:57:27,2025-05-22,2025-05-22
Ipsos,/marches/transactions_dirigeants/FR0000073298p,22/05/2025,Cession,Action,6663.0,"Auteur:Billie Page personne liée à Benjamin PAGE, Directeur général et membre du Conseil d'administration",21/05/2025,150,44.42,6663.0,,26,2025-07-27 20:57:28,2025-05-21,2025-05-22
Assystem,/marches/transactions_dirigeants/FR0000074148p,22/05/2025,Acquisition,Action,79799.0,"Auteur:HDL DEVELOPMENT Société par actions simplifiée personne morale liée à Dominique LOUIS, Président-directeur général",16/05/2025,2000,39.9,79800.0,,26,2025-07-27 20:57:28,2025-05-16,2025-05-22
Assystem,/marches/transactions_dirigeants/FR0000074148p,22/05/2025,Acquisition,Action,79506.0,"Auteur:HDL DEVELOPMENT Société par actions simplifiée personne morale liée à Dominique LOUIS, Président-directeur général",19/05/2025,2000,39.75,79500.0,,26,2025-07-27 20:57:28,2025-05-19,2025-05-22
Bouygues,/marches/transactions_dirigeants/FR0000120503p,22/05/2025,Cession,Action,58800.0,"Auteur:RAPHAELLE DEFLESSELLE, ADMINISTRATRICE DE BOUGUES SA, REPRESENTANTE DES SALARIES ACTIONNAIRES,DIRECTRICE DES TECHNOLOGIES ET DES SYSTEMES D'INFORMATION DE TF1, FILIALE DIRECTE DE BOUYGUES",21/05/2025,1500,39.2,58800.00000000001,,26,2025-07-27 20:57:28,2025-05-21,2025-05-22
Bouygues,/marches/transactions_dirigeants/FR0000120503p,22/05/2025,Exercice,Option d'achat,55659.0,"Auteur:RAPHAELLE DEFLESSELLE, ADMINISTRATRICE DE BOUGUES SA, REPRESENTANTE DES SALARIES ACTIONNAIRES,DIRECTRICE DES TECHNOLOGIES ET DES SYSTEMES D'INFORMATION DE TF1, FILIALE DIRECTE DE BOUYGUES",21/05/2025,1500,37.11,55665.0,,26,2025-07-27 20:57:28,2025-05-21,2025-05-22
Bnp Par.Tpa 84 1-2,/marches/transactions_dirigeants/FR0000140063p,22/05/2025,Reinvestissement du dividendes au sein de contrats d'assurance-vie,unités de compte au sein de contrats d'assurance-v,346200.0,"Auteur:JEAN-LAURENT BONNAFE, DIRECTEUR GENERAL",21/05/2025,4583,75.54,346199.82,"Les nouvelles unités de compte ont été créées le 21/05/25 sur une VL du 19/05/25. Le nombre d'unités de comptes sera diminué de 0,5% chaque année en raison du prélèvement de frais de gestion sous forme d'unités de compte; ce prélèvement étant réalisé mensuellement à une date fixée unilatéralement par la compagnie d'assurance (a savoir Cardif)",26,2025-07-27 20:57:28,2025-05-21,2025-05-22
Vinci,/marches/transactions_dirigeants/FR0000125486p,22/05/2025,Cession,Action,528719.0,"Auteur:Christian Labeyrie, DGA",20/05/2025,4127,128.11,528709.9700000001,,26,2025-07-27 20:57:28,2025-05-20,2025-05-22
Vinci,/marches/transactions_dirigeants/FR0000125486p,22/05/2025,Cession,Action,128214.0,"Auteur:Christian Labeyrie, DGA",21/05/2025,1000,128.21,128210.00000000001,,26,2025-07-27 20:57:28,2025-05-21,2025-05-22
Vinci,/marches/transactions_dirigeants/FR0000125486p,22/05/2025,Cession,Action,1065159.0,"Auteur:Christian Labeyrie, DGA",22/05/2025,8256,129.02,1065189.12,,26,2025-07-27 20:57:28,2025-05-22,2025-05-22
TF1,/marches/transactions_dirigeants/FR0000054900p,22/05/2025,Acquisition,Action,116039.0,"Auteur:BOUYGUES SA , ADMINISTRATEUR DE TF1, FILIALE DIRECTE DE BOUYGUES",21/05/2025,13000,8.93,116090.0,,26,2025-07-27 20:57:28,2025-05-21,2025-05-22
Altarea,/marches/transactions_dirigeants/FR0000033219p,22/05/2025,Cession,Action,195185.0,"Auteur:ALTA GROUPE Société par actions simplifiée personne morale liée à ALTAFI 2, Gérante",21/05/2025,1912,102.08,195176.96,"Les cessions du 19 mai 2025 ont eu lieu sur Euronext Paris (XPAR : 480 actions) et sur les plateformes suivantes : Aquis Exchange Europe (AQEU : 11 actions ; AQEA : 116 actions ; AQED : 318 actions), CBOE Europe (BEUP : 978 actions ; CEUX : 206 actions ; CEUD : 633 actions), Sigma X Europe (SGMV : 51 actions)  et Turquoise Europe (TQEM : 124 actions). Les cessions du 20 mai 2025 ont eu lieu sur Euronext Paris (XPAR : 1 218 actions) et sur les plateformes suivantes : Aquis Exchange Europe (AQEU : 184 actions ; AQEA : 103 actions ; AQED : 316 actions), CBOE Europe (BEUP : 591 actions ; CEUX : 252 actions ; CEUD : 969 actions), Posit (XPAC : 8 actions), Sigma X Europe (SGMV : 120 actions) et Turquoise Europe (TQEX : 24 ; TQEM : 282 actions). Les cessions du 21 mai 2025 ont eu lieu sur Euronext Paris (XPAR : 461 actions ; DPAR : 180 actions) et sur les plateformes suivantes : Aquis Exchange Europe (AQEU : 92 actions ; AQEA : 136 actions ; AQED : 313 actions), CBOE Europe (BEUP : 494 actions ; CEUX : 90 actions ; CEUD : 585 actions) et Turquoise Europe (TQEX : 8 ; TQEM : 194 actions).",26,2025-07-27 20:57:28,2025-05-21,2025-05-22
Hermes,/marches/transactions_dirigeants/FR0000052292p,22/05/2025,Acquisition,Action,30560790.0,"Auteur:H51 Société par actions simplifiée personne morale liée à Divers dirigeants, Gérant, membres du comité exécutif, membres duconseil de surveillance, membres du conseil de gérance d'Emile Hermès Sas associée commandité et gérant d'Hermès",20/05/2025,13000,,,"H51 est une personne morale liée au gérant, Axel Dumas, à des membres du comité exécutif, à des membres du conseil de surveillance, et à des membres du conseil de gérance d'Emile Hermès Sas associée commandité et gérant d'Hermès International.",26,2025-07-27 20:57:28,2025-05-20,2025-05-22
Hermes,/marches/transactions_dirigeants/FR0000052292p,22/05/2025,Acquisition,Action,2553.0,"Auteur:JEAN-LAURENT BONNAFE, Membre du Conseil de Surveillance",20/05/2025,1,,,,26,2025-07-27 20:57:28,2025-05-20,2025-05-22
ISPD Network,/marches/transactions_dirigeants/ES0109429037p,21/05/2025,Acquisition,Action,461.0,"Auteur:Vincent BAZI, Administrateur",16/05/2025,180,2.56,460.8,,26,2025-07-27 20:57:28,2025-05-16,2025-05-21
ISPD Network,/marches/transactions_dirigeants/ES0109429037p,21/05/2025,Acquisition,Action,835.0,"Auteur:Vincent BAZI, Administrateur",19/05/2025,330,2.53,834.9,,26,2025-07-27 20:57:28,2025-05-19,2025-05-21
ISPD Network,/marches/transactions_dirigeants/ES0109429037p,21/05/2025,Acquisition,Action,769.0,"Auteur:Vincent BAZI, Administrateur",20/05/2025,300,2.56,768.0,,26,2025-07-27 20:57:28,2025-05-20,2025-05-21
ISPD Network,/marches/transactions_dirigeants/ES0109429037p,21/05/2025,Acquisition,Action,496.0,"Auteur:Vincent BAZI, Administrateur",21/05/2025,200,2.48,496.0,,26,2025-07-27 20:57:28,2025-05-21,2025-05-21
TF1,/marches/transactions_dirigeants/FR0000054900p,21/05/2025,Acquisition,Action,124991.0,"Auteur:BOUYGUES SA , ADMINISTRATEUR DE TF1, FILIALE DIRECTE DE BOUYGUES",20/05/2025,14000,8.93,125020.0,,26,2025-07-27 20:57:28,2025-05-20,2025-05-21
Covivio Hotels,/marches/transactions_dirigeants/FR0000060303p,21/05/2025,Attribution de nouvelles actions au titre du dividende payé en actions,Action,23775635.0,"Auteur:CARDIF ASSURANCE VIE SA, Membre du Conseil de Surveillance",19/05/2025,1280325,18.57,23775635.25,"CARDIF ASSURANCE VIE (732 028 154 R.C.S. Paris) et CARDIF RETRAITE (903 364 321 R.C.S. Paris) et sont toutes deux détenues à 100% par la société BNP PARIBAS CARDIF (382 983 922 R.C.S. Paris). C’est en qualité de personne étroitement liée à CARDIF ASSURANCE VIE que la société CARDIF RETRAITE s’associe à la présente déclaration. Dans le cadre de l’option de paiement en actions du dividende versé en 2025 par la société COVIVIO HOTELS au titre de l’exercice clos le 31 décembre 2024, les sociétés CARDIF ASSURANCE VIE et CARDIF RETRAITE ont toutes deux opté pour cette option. L’attribution des actions nouvelles est intervenue le 19 mai 2025. Le 19 mai 2025 : -CARDIF ASSURANCE VIE a reçu 1 194 704 actions nouvelles et détient 15 985 142 actions de la société COVIVIO HOTEL, soit 10,118% du capital et des droits de vote et franchit à titre individuel le seuil réglementaire et statutaire de 10%, -CARDIF RETRAITE a reçu 85 621 actions nouvelles et détient 1 145 620 actions de la société COVIVIO HOTEL, soit 0,725% du capital et des droits de vote, -Ensemble, les sociétés CARDIF ASSURANCE VIE et CARDIF RETRAITE détiennent 17 130 762 actions de la société COVIVIO HOTEL, soit 10,843% du capital et des droits de vote.",26,2025-07-27 20:57:28,2025-05-19,2025-05-21
Covivio Hotels,/marches/transactions_dirigeants/FR0000060303p,21/05/2025,Paiement de dividendes en actions,Action,11459640.0,"Auteur:SOGECAP , Administrateur",19/05/2025,617105,18.57,11459639.85,"Aux termes d'une assemblée générale tenue le 15/05/2025, un dividende par action de 1,5€/action a été voté. Sogecap a opté pour un paiement de ce dividendes en actions, le prix retenu pour ce paiement étant de 18,57 €/action. Sogecap a ainsi obtenu 617 105 nouvelles actions en date livraison du 19/05/2025.",26,2025-07-27 20:57:28,2025-05-19,2025-05-21
CapGemini,/marches/transactions_dirigeants/FR0000125338p,21/05/2025,Acquisition,Action,149100.0,"Auteur:Jean-Marc Chéry, Administrateur",20/05/2025,1000,149.1,149100.0,,26,2025-07-27 20:57:28,2025-05-20,2025-05-21
Eiffage,/marches/transactions_dirigeants/FR0000130452p,21/05/2025,Souscription,fcpe Eiffage actionnariat relai 2025,33900.0,"Auteur:Laurent Dupont, Administrateur",20/05/2025,678,50.0,33900.0,,26,2025-07-27 20:57:28,2025-05-20,2025-05-21
Eiffage,/marches/transactions_dirigeants/FR0000130452p,21/05/2025,Souscription,FCPE Eiffage Actionnariat Relais 2025,160000.0,"Auteur:christian cassayre, Directeur financier",20/05/2025,3200,50.0,160000.0,,26,2025-07-27 20:57:28,2025-05-20,2025-05-21
Eiffage,/marches/transactions_dirigeants/FR0000130452p,21/05/2025,Souscription,FCPE Eiffage Actionnariat Relais 2025,555000.0,"Auteur:BENOIT DE RUFFRAY, Président-Directeur Général",20/05/2025,11100,50.0,555000.0,,26,2025-07-27 20:57:28,2025-05-20,2025-05-21
Renault,/marches/transactions_dirigeants/FR0000131906p,21/05/2025,Cession,Action,300370.0,"Auteur:François PROVOST, Membre du comité exécutif de Renault Group (Leadership Team)",20/05/2025,6130,49.0,300370.0,,26,2025-07-27 20:57:28,2025-05-20,2025-05-21
Voyageurs du monde,/marches/transactions_dirigeants/FR0004045847p,21/05/2025,Conversion,Action,80978.0,"Auteur:CREDIT MUTUEL EQUITY SCR SAS, Membre du CA",13/05/2025,80978,1.0,80978.0,Crédit Mutuel Equity SCR détient un mandat d'administrateur au Conseil d'administration de Voyageurs du Monde SA. Son représentant permanent étant Caroline GIRAL.,26,2025-07-27 20:57:28,2025-05-13,2025-05-21
Frey,/marches/transactions_dirigeants/FR0010588079p,21/05/2025,Acquisition,Action,1390.0,"Auteur:FIRMAMENT PARTICIPATIONS Société en commandite par actions, Administrateur",20/05/2025,50,27.8,1390.0,,26,2025-07-27 20:57:28,2025-05-20,2025-05-21
Tikehau Capital,/marches/transactions_dirigeants/FR0013230612p,21/05/2025,Acquisition,Action,9725.0,"Auteur:TIKEHAU CAPITAL ADVISORS Société par actions simplifiée  personne morale liée à Antoine  FLAMARION, Président de AF&CoManagement, elle-même Gérant de Tikehau Capital",21/05/2025,500,19.45,9725.0,"Tikehau Capital Advisors est une personne étroitement liée à deux personnes dirigeantes de Tikehau Capital, à savoir : - AF&Co Management, Gérant, dont Monsieur Antoine Flamarion est le Président; et - MCH Management, Gérant, dont Monsieur Mathieu Chabran est le Président. Monsieur Antoine Flamarion est également président de la société AF&Co, elle-même Président de Tikehau Capital Advisors, et Monsieur Mathieu Chabran est également président de la société MCH, elle-même Directeur Général statutaire de Tikehau Capital Advisors. Tikehau Capital Advisors est également l'actionnaire unique de Tikehau Capital Commandité, associé commandité de Tikehau Capital.",26,2025-07-27 20:57:28,2025-05-21,2025-05-21
Tikehau Capital,/marches/transactions_dirigeants/FR0013230612p,21/05/2025,Acquisition,Action,100028.0,"Auteur:MAKEMO CAPITAL Société par Actions simplifiée personne morale liée à Antoine FLAMARION, Président de AF&COManagement, elle-même Gérant de Tikehau Capital",21/05/2025,5138,19.47,100036.86,,26,2025-07-27 20:57:28,2025-05-21,2025-05-21
Ayvens,/marches/transactions_dirigeants/FR0013258662p,21/05/2025,Acquisition,Action,26700.0,"Auteur:TIM ALBERTSEN, CEO",19/05/2025,3000,8.9,26700.0,,26,2025-07-27 20:57:28,2025-05-19,2025-05-21
KKO International,/marches/transactions_dirigeants/FR0013374667p,21/05/2025,Cession,Action,2130.0,"Auteur:ALICANTE PARTICIPATION S.A. SA, ADMINISTRATRICE",16/05/2025,15000,0.14,2100.0,,27,2025-07-27 20:57:29,2025-05-16,2025-05-21
Klea Holding,/marches/transactions_dirigeants/FR0013481835p,20/05/2025,Acquisition,Action,1790.0,"Auteur:SASHA SMILA personne liée à RAPHAEL SMILA, DG DELEGUE",20/05/2025,10000,0.18,1800.0,,27,2025-07-27 20:57:29,2025-05-20,2025-05-20
Tikehau Capital,/marches/transactions_dirigeants/FR0013230612p,20/05/2025,Acquisition,Action,9600.0,"Auteur:TIKEHAU CAPITAL ADVISORS Société par actions simplifiée  personne morale liée à Antoine  FLAMARION, Président de AF&CoManagement, elle-même Gérant de Tikehau Capital",20/05/2025,500,19.2,9600.0,"Tikehau Capital Advisors est une personne étroitement liée à deux personnes dirigeantes de Tikehau Capital, à savoir : - AF&Co Management, Gérant, dont Monsieur Antoine Flamarion est le Président; et - MCH Management, Gérant, dont Monsieur Mathieu Chabran est le Président. Monsieur Antoine Flamarion est également président de la société AF&Co, elle-même Président de Tikehau Capital Advisors, et Monsieur Mathieu Chabran est également président de la société MCH, elle-même Directeur Général statutaire de Tikehau Capital Advisors. Tikehau Capital Advisors est également l'actionnaire unique de Tikehau Capital Commandité, associé commandité de Tikehau Capital.",27,2025-07-27 20:57:29,2025-05-20,2025-05-20
Tikehau Capital,/marches/transactions_dirigeants/FR0013230612p,20/05/2025,Acquisition,Action,43716.0,"Auteur:MAKEMO CAPITAL Société par Actions simplifiée personne morale liée à Antoine FLAMARION, Président de AF&COManagement, elle-même Gérant de Tikehau Capital",20/05/2025,2270,19.26,43720.200000000004,,27,2025-07-27 20:57:29,2025-05-20,2025-05-20
Roche Bobois,/marches/transactions_dirigeants/FR0013344173p,20/05/2025,Acquisition,Action,14230.0,"Auteur:TXR S.R.L.  personne morale liée à Giovanni Tamburi, Membre du Conseil de Surveillance",19/05/2025,400,35.58,14232.0,,27,2025-07-27 20:57:29,2025-05-19,2025-05-20
Boa Concept,/marches/transactions_dirigeants/FR0011365907p,20/05/2025,Acquisition,Action,28050.0,"Auteur:Patrice HENRION, Directeur général délégué",20/05/2025,1500,18.7,28050.0,,27,2025-07-27 20:57:29,2025-05-20,2025-05-20
Witbe,/marches/transactions_dirigeants/FR0013143872p,20/05/2025,Acquisition,Action,7868.0,"Auteur:Mathieu Planche, Directeur General Delegue",20/05/2025,3210,2.45,7864.500000000001,,27,2025-07-27 20:57:29,2025-05-20,2025-05-20
Bouygues,/marches/transactions_dirigeants/FR0000120503p,20/05/2025,Cession,Action,300769.0,"Auteur:JEAN-MANUEL SOUSSAN, DIRECTEUR GENERAL ADJOINT RESSOURCES HUMAINES DE BOUYGUES",19/05/2025,7750,38.81,300777.5,,27,2025-07-27 20:57:29,2025-05-19,2025-05-20
Savencia,/marches/transactions_dirigeants/FR0000120107p,20/05/2025,Cession,Action,196040.0,"Auteur:françois wolfovski, Administrateur",19/05/2025,2900,67.6,196039.99999999997,,27,2025-07-27 20:57:29,2025-05-19,2025-05-20
Assystem,/marches/transactions_dirigeants/FR0000074148p,20/05/2025,Acquisition,Action,79853.0,"Auteur:HDL DEVELOPMENT Société par actions simplifiée personne morale liée à Dominique LOUIS, Président-directeur général",15/05/2025,2000,39.93,79860.0,,27,2025-07-27 20:57:29,2025-05-15,2025-05-20
Ipsos,/marches/transactions_dirigeants/FR0000073298p,20/05/2025,Acquisition définitive d'actions gratuites (livraison),Action,505144.0,"Auteur:Benjamin Page, Directeur général et membre du Conseil d'administration",17/05/2025,11156,45.28,505143.68,"Livraison réalisée au cours de fermeture du 16 mai 2025, soit 45,28 par action.",27,2025-07-27 20:57:29,2025-05-17,2025-05-20
Ipsos,/marches/transactions_dirigeants/FR0000073298p,20/05/2025,Acquisition définitive d'actions gratuites (livraison),Action,574467.0,"Auteur:Laurence STOCLET, Membre du Conseil d'administration",17/05/2025,12687,45.28,574467.36,"Livraison réalisée au cours de fermeture du 16 mai 2025, soit 45,28 euros par action.",27,2025-07-27 20:57:29,2025-05-17,2025-05-20
Ipsos,/marches/transactions_dirigeants/FR0000073298p,20/05/2025,Acquisition définitive d'actions gratuites (livraison),Action,4528.0,"Auteur:Sylvie Mayou, Membre du Conseil d'administration",17/05/2025,100,45.28,4528.0,"Livraison réalisée au cours de fermeture du 16 mai 2025, soit 45,28 euros par action.",27,2025-07-27 20:57:29,2025-05-17,2025-05-20
Ipsos,/marches/transactions_dirigeants/FR0000073298p,20/05/2025,Acquisition définitive d'actions gratuites (livraison),Action,6792.0,"Auteur:Billie Page personne liée à Benjamin PAGE, Directeur général et membre du Conseil d'administration",17/05/2025,150,45.28,6792.0,"Livraison réalisée au cours de fermeture du 16 mai 2025, soit 45,28 euros par action.",27,2025-07-27 20:57:29,2025-05-17,2025-05-20
Covivio Hotels,/marches/transactions_dirigeants/FR0000060303p,20/05/2025,Paiement du dividende en actions,Action,11977780.0,"Auteur:CAISSE DES DEPOTS ET CONSIGNATIONS Etablissement Public, Membre du Conseil de Surveillance",19/05/2025,645007,18.57,11977779.99,,27,2025-07-27 20:57:29,2025-05-19,2025-05-20
TF1,/marches/transactions_dirigeants/FR0000054900p,20/05/2025,Acquisition,Action,150501.0,"Auteur:BOUYGUES SA , ADMINISTRATEUR DE TF1, FILIALE DIRECTE DE BOUYGUES",19/05/2025,17000,8.85,150450.0,,27,2025-07-27 20:57:29,2025-05-19,2025-05-20
Tonner Drones,/marches/transactions_dirigeants/FR001400H2X4p,20/05/2025,Exercice,warrants,568350.0,"Auteur:Diede van den Ouden, CEO and President of the Board",20/05/2025,45468000,0.01,454680.0,,27,2025-07-27 20:57:29,2025-05-20,2025-05-20
